app_code,first_year,last_year,applicant_type,description,notes
A1,1998,2009,combined_L_T,Determine Whether Act Applies,
A1L,2009,,landlord,Determine Whether Act Applies,
A1T,2009,,tenant,Determine Whether Act Applies,
A2,1998,2009,combined_L_T,Sublet or Assignment,
A2L,2009,,landlord,Sublet or Assignment,
A2T,2009,,tenant,Sublet or Assignment,
A3,1998,2009,combined_L_T,Combined Application,Assuming this means application includes multiple issues
A3L,2009,,landlord,Combined Application,Usually includes a L1
A3T,2009,,tenant,Combined Application,
A4,1998,2009,combined_L_T,Vary Rent Reduction Amount,
A4L,2009,,landlord,Vary Rent Reduction Amount,
A4T,2009,,tenant,Vary Rent Reduction Amount,
L1,1998,,landlord,Termination for Non-Payment of Rent,
L2,1998,,landlord,Terminate Tenancy & Evict,
L3,1998,,landlord,Termination Tenant Gave Notice,
L4,1998,,landlord,Terminate Tenancy: Failed Settlement,
L5,1998,,landlord,Rent Increase above Guidelines,
L6,1998,,landlord,Review of Provincial Work Order,
L7,2000,,landlord,Transfer Tenant to Care Home ,
L8,1998,,landlord,Tenant Changed Locks,
L9,2007,,landlord,Application to Collect Rent,
L10,2021,,landlord,Collect Money Former Tenant Owes,
T1,1998,,tenant,Rent Rebate (eg. Illegal rent),
T2,1998,,tenant,Tenant Rights,
T3,1998,,tenant,Rent Reduction,
T4,2000,,tenant,Failed Rent Increase above Guideline,
T5,1998,,tenant,Bad faith Notice of Termination,
T6,2000,,tenant,Maintenance ,
T7,2010,,tenant,Suite Meters,
