report_id,metric_id,value,currency,notes
1998_1999,cost_filing,60,dollars,
2004_2005,cost_filing,150,dollars,
2015_2016,cost_filing_tenant,50,dollars,
2006_2007,budget_expenditures,25700000,dollars,
2006_2007,salaries_wages,17700000,dollars,
2006_2007,other_expenses,8000000,dollars,
2006_2007,revenue,10000000,dollars,
2007_2008,budget_expenditures,24900000,dollars,
2007_2008,salaries_wages,19300000,dollars,
2007_2008,other_expenses,5500000,dollars,
2007_2008,revenue,10000000,dollars,
2009_2010,budget_expenditures,27870000,dollars,
2009_2010,salaries_wages,16560000,dollars,
2009_2010,other_expenses,8910000,dollars,
2009_2010,revenue,11750000,dollars,
2009_2010,benefits,2400000,dollars,
