report_id,landlord_received,tenant_received,value_type,status
1998_1999,0.92,0.08,percent,reported
1999_2000,0.91,0.09,percent,reported
2000_2001,0.91,0.09,percent,reported
2001_2002,0.91,0.09,percent,reported
2002_2003,0.91,0.09,percent,reported
2003_2004,0.905,0.095,percent,reported
2004_2005,0.92,0.08,percent,reported
2005_2006,0.91,0.09,percent,reported
2006_2007,0.91,0.09,percent,reported
2007_2008,0.92,0.08,percent,reported
2008_2009,0.92,0.08,percent,reported
2009_2010,0.91,0.09,percent,reported
2010_2011,0.91,0.09,percent,reported
2011_2012,0.91,0.09,percent,reported
2012_2013,0.91,0.09,percent,reported
2013_2014,0.91,0.09,percent,reported
2014_2015,0.9,0.1,percent,reported
2015_2016,0.9,0.1,percent,reported
2016_2017,0.9,0.1,percent,reported
2017_2018,0.9,0.1,percent,reported
2018_2019,0.90,0.10,percent,calculated
2019_2020,0.90,0.10,percent,calculated
2020_2021,0.86,0.14,percent,calculated
2021_2022,0.88,0.12,percent,calculated
2022_2023,0.88,0.12,percent,calculated
2023_2024,0.88,0.12,percent,calculated
2024_2025,0.88,0.12,percent,calculated
