report_id,report_label,start_period,end_period,report_period_notes
1998_1999,1998-1999,06-1998,03-1999,"Tenant Protection Act proclaimed June 17, 1998"
1999_2000,1999-2000,04-1999,03-2000,Fiscal year reporting starts
2000_2001,2000-2001,,,
2001_2002,2001-2002,,,
2002_2003,2002-2003,,,
2003_2004,2003-2004,,,
2004_2005,2004-2005,,,
2005_2006,2005-2006,,,
2006_2007,2006-2007,,,
2007_2008,2007-2008,,,
2008_2009,2008-2009,,,
2009_2010,2009-2010,,,
2010_2011,2010-2011,,,
2011_2012,2011-2012,,,
2012_2013,2012-2013,,,
2013_2014,2013-2014,,,
2014_2015,2014-2015,,,
2015_2016,2015-2016,,,
2016_2017,2016-2017,,,
2017_2018,2017-2018,,,
2018_2019,2018-2019,,,
2019_2020,2019-2020,,,
2020_2021,2020-2021,,,
2021_2022,2021-2022,,,
2022_2023,2022-2023,,,
2023_2024,2023-2024,,,
2024_2025,2024-2025,,,
