report_id,metric_id,value,unit,notes
2013_2014,abandoned,2609,applications,
2013_2014,res_mediation,13054,applications,
2013_2014,res_hearing,51845,applications,
2013_2014,res_wo_hearing,4851,applications,
2013_2014,review_denied,596,applications,
2013_2014,withdrawn,7223,applications,
2013_2014,other,1948,applications,
2014_2015,abandoned,12668,applications,
2014_2015,res_mediation,11926,applications,
2014_2015,res_hearing,48107,applications,
2014_2015,res_wo_hearing,4402,applications,
2014_2015,review_denied,675,applications,
2014_2015,withdrawn,7369,applications,
2014_2015,other,2001,applications,
2015_2016,abandoned,2673,applications,
2015_2016,res_mediation,11541,applications,
2015_2016,res_hearing,48533,applications,
2015_2016,res_wo_hearing,4397,applications,
2015_2016,review_denied,729,applications,
2015_2016,withdrawn,7487,applications,
2015_2016,other,2413,applications,
2016_2017,abandoned,3168,applications,
2016_2017,res_mediation,10735,applications,
2016_2017,res_hearing,49901,applications,
2016_2017,res_wo_hearing,3997,applications,
2016_2017,review_denied,903,applications,
2016_2017,withdrawn,8264,applications,
2016_2017,other,1815,applications,
2017_2018,abandoned,2805,applications,
2017_2018,res_mediation,10804,applications,
2017_2018,res_hearing,49776,applications,
2017_2018,res_wo_hearing,3908,applications,
2017_2018,review_denied,1010,applications,
2017_2018,withdrawn,8155,applications,
2017_2018,other,1802,applications,
